"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"graduate","graduate.v.01","receive an academic degree upon completion of one's studies","verb.possession","['graduate', 'graduated', 'graduating']",887
"demand","demand.v.01","request urgently and forcefully","verb.communication","['demand', 'demanding', 'demanded']",876
"scratch","rub.v.02","cause friction","verb.contact","['scratch', 'scratched', 'scratching']",875
"express","express.v.01","give expression to","verb.communication","['express', 'expressed', 'expressing', 'expresses', 'evinced', 'evincing', 'evinces']",872
"gasps","pant.v.01","breathe noisily, as when one is exhausted","verb.body","['gasps', 'gasping', 'panting', 'gasped']",871
"flip","flip.v.01","lightly throw to see which side comes up","verb.motion","['flip', 'flipped', 'flips']",869
"tend","tend.v.01","have a tendency or disposition to do or be something; be inclined","verb.stative","['tend', 'tends', 'tending', 'tended', 'inclining']",868
"published","print.v.01","put into print","verb.creation","['published', 'publish', 'printed', 'publishes']",858
"facing","confront.v.02","deal with (something unpleasant) head on","verb.communication","['facing', 'faced']",852
"lick","cream.v.02","beat thoroughly and conclusively in a competition or fight","verb.contact","['lick', 'licked', 'licking', 'licks', 'drubbing']",851
"chuckles","chuckle.v.01","laugh quietly or with restraint","verb.body","['chuckles', 'chuckling', 'chortle', 'chortles', 'chuckled', 'chortling']",848
"crashed","crash.v.01","fall or come down violently","verb.motion","['crashed', 'crashing', 'crashes']",842
"raining","rain.v.01","precipitate as rain","verb.weather","['raining', 'rains', 'rained']",840
"sealed","seal.v.01","make tight; secure against leakage","verb.contact","['sealed', 'seal', 'sealing']",837
"loaded","load.v.01","fill or place a load on","verb.contact","['loaded', 'loading']",830
"aim","aim.v.01","point or cause to go (blows, weapons, or objects such as photographic equipment) towards","verb.competition","['aim', 'aiming', 'aimed', 'aims']",830
"heal","mend.v.02","heal or recover","verb.change","['heal', 'healed', 'heals']",817
"straighten","straighten.v.01","straighten up or out; make straight","verb.motion","['straighten', 'straightened', 'straightening', 'straightens', 'unbend', 'unbent']",816
"attached","attach.v.01","cause to be attached","verb.contact","['attached', 'attach', 'attaches', 'attaching']",815
"slide","skid.v.04","move obliquely or sideways, usually in an uncontrolled manner","verb.motion","['slide', 'sliding', 'slid']",810
"granted","allow.v.03","let have","verb.possession","['granted', 'grants', 'granting']",804
"declare","declare.v.01","state emphatically and authoritatively","verb.communication","['declare', 'declared', 'declaring', 'declares']",801
"weigh","weigh.v.01","have a certain weight","verb.stative","['weigh', 'weighs', 'weighed', 'weighing']",800
"trained","train.v.01","create by training and teaching","verb.cognition","['trained']",798
"slap","slap.v.01","hit with something flat, like a paddle or the open hand","verb.contact","['slap', 'slapped', 'slapping', 'slaps']",794
"hooked","hook.v.01","fasten with a hook","verb.contact","['hooked', 'hooking']",789
"surrender","surrender.v.01","give up or agree to forgo to the power or possession of another","verb.competition","['surrender', 'surrendered', 'surrendering', 'surrenders']",784
"transferred","transfer.v.01","transfer somebody to a different position or location of work","verb.social","['transferred', 'transferring', 'reassigned', 'reassign', 'reassigning']",784
"backed","back.v.01","be behind; approve of","verb.social","['backed', 'backing', 'endorse', 'endorsed', 'endorsing', 'endorses', 'indorse']",784
"chew","chew.v.01","chew (food); to bite and grind with the teeth","verb.consumption","['chew', 'chewing', 'chewed', 'chews']",779
"tolerate","digest.v.03","put up with something or somebody unpleasant","verb.cognition","['tolerate', 'endure', 'endured', 'tolerated', 'endures', 'tolerates', 'tolerating', 'brooking']",779
"spotted","descry.v.01","catch sight of","verb.perception","['spotted', 'spying', 'spied', 'spotting']",769
"pointing","indicate.v.02","indicate a place, direction, person, or thing; either spatially or figuratively","verb.communication","['pointing', 'pointed']",769
"hunt","hunt.v.01","pursue for food or sport (as of wild animals)","verb.competition","['hunt', 'hunted', 'hunts']",768
"assigned","delegate.v.02","give an assignment to (a person) to a post, or assign a task to (a person)","verb.social","['assigned', 'assign', 'assigning', 'assigns']",766
"rehearse","rehearse.v.01","engage in a rehearsal (of)","verb.creation","['rehearse', 'rehearsing', 'practise', 'practising', 'rehearsed', 'practised', 'practises', 'rehearses']",763
"puke","vomit.v.01","eject the contents of the stomach through the mouth","verb.body","['puke', 'vomit', 'vomiting', 'puking', 'barf', 'vomited', 'puked', 'barfing', 'vomits', 'retching', 'barfed', 'retches', 'upchucked']",758
"interfere","interfere.v.01","come between so as to be hindrance or obstacle","verb.social","['interfere', 'interfering', 'interfered', 'interferes']",757
"insult","diss.v.01","treat, mention, or speak to rudely","verb.communication","['insult', 'insulted', 'dissing', 'dissed', 'diss', 'affronted', 'disses']",754
"relieved","relieve.v.01","provide physical relief, as from pain","verb.body","['relieved', 'relieve', 'relieving', 'alleviate', 'relieves', 'alleviating', 'alleviates', 'alleviated']",754
"activate","trip.v.04","put in motion or move to act","verb.creation","['activate', 'activated', 'triggered', 'activating', 'triggers', 'sparked', 'triggering', 'activates', 'sparking', 'actuated', 'actuate']",751
"distracted","distract.v.01","draw someone's attention away from something","verb.emotion","['distracted', 'distract', 'distracting', 'distracts']",749
"succeed","succeed.v.01","attain success or reach a desired goal","verb.social","['succeed', 'succeeded', 'succeeds', 'succeeding']",745
"cooperate","collaborate.v.01","work together on a common enterprise of project","verb.social","['cooperate', 'cooperating', 'cooperated', 'collaborate', 'collaborating', 'cooperates', 'collaborated', 'collaborates']",743
"offended","pique.v.01","cause to feel resentment or indignation","verb.emotion","['offended', 'offend', 'offends', 'offending', 'piqued', 'piques', 'piquing']",742
"melt","melt.v.01","reduce or cause to be reduced from a solid to a liquid state, usually by heating","verb.change","['melt', 'melted', 'melting', 'melts']",741
"achieve","achieve.v.01","to gain with effort","verb.social","['achieve', 'achieved', 'attain', 'attained', 'achieving', 'achieves', 'attaining', 'attains']",738
"bounce","bounce.v.01","spring back; spring away from an impact","verb.motion","['bounce', 'bouncing', 'bounced', 'bounces', 'ricocheted', 'rebounded', 'rebounding', 'ricochets', 'ricocheting']",732
"beeping","honk.v.01","make a loud noise","verb.perception","['beeping', 'honking', 'beeps', 'honk', 'honks', 'toot', 'beeped', 'honked', 'tooting', 'tooted']",728
"improve","better.v.02","to make better","verb.change","['improve', 'improved', 'improving', 'improves', 'ameliorate', 'ameliorated']",727
"stretch","stretch.v.01","occupy a large, elongated area","verb.stative","['stretch', 'stretched', 'stretching', 'stretches']",723
"sew","sew.v.01","fasten by sewing; do needlework","verb.contact","['sew', 'stitch', 'sewed', 'sewn', 'stitched', 'sews']",721
"obliged","compel.v.01","force somebody to do something","verb.social","['obliged', 'compelled', 'oblige', 'obligated', 'compel', 'compels', 'obliges', 'obligate', 'obligates', 'obligating']",719
"choke","choke.v.01","breathe with great difficulty, as when experiencing a strong emotion","verb.body","['choke', 'choking', 'choked', 'chokes']",718
"handed","pass.v.05","place into the hands or custody of","verb.possession","['handed', 'handing']",710
"possessed","possess.v.01","have as an attribute, knowledge, or skill","verb.stative","['possessed', 'possess', 'possesses', 'possessing']",707
"executed","execute.v.01","kill as a means of socially sanctioned punishment","verb.social","['executed', 'execute', 'executing', 'executes']",703
"compete","compete.v.01","compete for something; engage in a contest; measure oneself against others","verb.competition","['compete', 'competing', 'vie', 'competed', 'vying', 'competes', 'vied', 'vies']",700
"honored","honor.v.01","bestow honor or rewards upon","verb.social","['honored', 'rewarded', 'honoured', 'honoring', 'honouring']",696
"controlled","control.v.01","exercise authoritative control or power over","verb.social","['controlled', 'controls', 'controlling', 'controling', 'controled']",696
"sweep","brush.v.04","sweep across or over","verb.motion","['sweep', 'swept', 'sweeping', 'sweeps']",692
"withdraw","withdraw.v.01","pull back or move away or backward","verb.motion","['withdraw', 'withdrawn', 'withdrew', 'retreated', 'retreating', 'withdrawing', 'withdraws', 'receding', 'receded', 'recede', 'recedes']",688
"rented","rent.v.01","let for money","verb.social","['rented', 'renting', 'leased', 'rents', 'leasing']",682
"raped","rape.v.01","force (someone) to have sex against their will","verb.social","['raped', 'raping', 'ravish', 'ravished']",679
"adopted","adopt.v.01","choose and follow; as of theories, ideas, policies, strategies or plans","verb.possession","['adopted', 'adopt', 'adopting', 'adopts', 'espousing', 'espouse', 'espoused', 'espouses']",679
"mistaken","mistake.v.01","identify incorrectly","verb.cognition","['mistaken', 'mistook', 'mistaking', 'misidentify']",659
"requested","request.v.01","express the need or desire for; ask for","verb.communication","['requested', 'requesting']",657
"smashed","smash.v.01","hit hard","verb.contact","['smashed', 'smash', 'smashes']",652
"notify","advise.v.02","inform (somebody) of something","verb.communication","['notify', 'notified', 'apprised', 'notifying', 'apprise', 'apprising', 'notifies']",651
"conduct","conduct.v.01","direct the course of; manage or control","verb.social","['conduct', 'conducting', 'conducted', 'conducts']",646
"questioning","question.v.01","challenge the accuracy, probity, or propriety of","verb.communication","['questioning', 'questioned']",641
"permit","permit.v.01","consent to, give permission","verb.communication","['permit', 'permitted', 'permitting', 'countenanced']",639
"entitled","entitle.v.01","give the right to","verb.social","['entitled', 'entitles', 'entitle']",635
"rejected","reject.v.01","refuse to accept or acknowledge","verb.cognition","['rejected', 'reject', 'rejecting', 'rejects']",634
"brush","brush.v.01","rub with a brush, or as if with a brush","verb.contact","['brush', 'brushed', 'brushing']",631
"landed","land.v.01","reach or come to rest","verb.motion","['landed']",625
"cracked","crack.v.01","become fractured; break or crack on the surface only","verb.change","['cracked', 'cracking']",619
"practicing","practice.v.01","carry out or practice; as of jobs and professions","verb.social","['practicing', 'practiced']",615
"judging","judge.v.01","determine the result of (a competition)","verb.cognition","['judging', 'judged']",611
"volunteer","volunteer.v.01","tell voluntarily","verb.communication","['volunteer', 'volunteered', 'volunteering']",611
"hail","acclaim.v.01","praise vociferously","verb.communication","['hail', 'hailing', 'hailed', 'hails', 'acclaimed', 'acclaims']",608
"awaits","expect.v.03","look forward to the probable occurrence of","verb.cognition","['awaits', 'awaiting', 'await', 'awaited']",606
"poke","jab.v.01","poke or thrust abruptly","verb.contact","['poke', 'poking', 'jab', 'poked', 'pokes', 'jabbing', 'jabbed']",602
"adore","adore.v.01","love intensely","verb.emotion","['adore', 'adored', 'adores']",599
"blocked","barricade.v.01","render unsuitable for passage","verb.contact","['blocked', 'blocking', 'barricaded', 'barricading']",599
"increase","increase.v.01","become bigger or greater in amount","verb.change","['increase', 'increased', 'increasing', 'increases']",599
"flush","blush.v.01","turn red, as if in embarrassment or shame","verb.body","['flush', 'flushed', 'blushing', 'flushing', 'flushes', 'blushed', 'redden', 'reddens']",599
"chuck","chuck.v.01","throw carelessly","verb.contact","['chuck', 'chucked', 'chucking', 'chucks']",598
"separated","separate.v.01","act as a barrier between; stand between","verb.stative","['separated', 'separates', 'separating']",591
"fetch","bring.v.04","go or come after and bring or take back","verb.contact","['fetch', 'fetched', 'fetches']",590
"communicate","communicate.v.01","transmit information","verb.communication","['communicate', 'communicating', 'communicated', 'communicates']",586
"doomed","destine.v.01","decree or designate beforehand","verb.communication","['doomed', 'destined', 'dooming', 'destine']",583
"filed","file.v.01","record in a public office or in a court of law","verb.communication","['filed', 'filing']",582
"fade","fade.v.01","become less clearly visible or distinguishable; disappear gradually or seemingly","verb.change","['fade', 'fading', 'faded', 'fades']",580
"conquer","suppress.v.01","to put down by force or authority","verb.change","['conquer', 'conquered', 'suppress', 'suppressing', 'suppressed', 'conquers', 'inhibit', 'inhibited', 'suppresses', 'inhibiting', 'inhibits']",580
"inspired","inspire.v.01","heighten or intensify","verb.emotion","['inspired', 'inspire', 'inspires', 'enlivened', 'animating', 'invigorate', 'animates', 'enliven', 'enlivens']",578
"obey","obey.v.01","be obedient to","verb.social","['obey', 'obeyed', 'obeying', 'obeys']",574
"marked","tag.v.01","attach a tag or label to","verb.contact","['marked', 'tagged', 'marking', 'tagging']",567
"plead","plead.v.01","appeal or request earnestly","verb.communication","['plead', 'pleading', 'pleaded', 'pleads', 'pled']",567
"flee","flee.v.01","run away quickly","verb.motion","['flee', 'fled', 'fleeing', 'flees']",565
"worship","idolize.v.01","love unquestioningly and uncritically or to excess; venerate as an idol","verb.emotion","['worship', 'worshipped', 'worships', 'worshipping', 'revered', 'worshiped', 'idolized', 'idolised', 'idolize', 'reveres', 'idolizes', 'worshiping', 'idolise', 'idolises', 'idolizing']",563
"tortured","torment.v.01","torment emotionally or mentally","verb.emotion","['tortured', 'torturing', 'tormenting', 'tormented']",562
"lasted","last.v.01","persist for a specified period of time","verb.stative","['lasted', 'lasts']",561
"dedicated","give.v.18","give entirely to a specific person, activity, or cause","verb.communication","['dedicated', 'dedicate', 'devote', 'devoting', 'dedicating', 'devotes', 'dedicates']",561
"preserve","continue.v.03","keep or maintain in unaltered condition; cause to remain or last","verb.stative","['preserve', 'uphold', 'preserved', 'preserves', 'preserving', 'upheld', 'upholding', 'upholds']",559
"pose","present.v.05","introduce","verb.stative","['pose', 'posing', 'posed', 'poses']",555
"provoke","arouse.v.01","call forth (emotions, feelings, and responses)","verb.emotion","['provoke', 'aroused', 'provoked', 'arouse', 'provoking', 'arousing', 'elicit', 'provokes', 'evoke', 'arouses', 'evokes', 'eliciting', 'evoked', 'evoking', 'elicited', 'elicits']",554
"eliminate","extinguish.v.04","terminate, end, or take out","verb.change","['eliminate', 'eliminated', 'eliminating', 'eliminates']",551
"erase","erase.v.01","remove from memory or existence","verb.change","['erase', 'erased', 'erasing', 'erases']",545
"escort","escort.v.01","accompany as an escort","verb.motion","['escort', 'escorted', 'escorting']",540
"dive","dive.v.01","drop steeply","verb.motion","['dive', 'diving', 'dives', 'dived']",540
"experienced","experience.v.01","go or live through","verb.perception","['experienced', 'experiencing']",537
"qualified","qualify.v.01","prove capable or fit; meet requirements","verb.stative","['qualified', 'qualify', 'qualifies']",532
"fold","fold.v.01","bend or lay so that one part covers the other","verb.contact","['fold', 'folded', 'folding']",531
"tracking","track.v.01","carry on the feet and deposit","verb.motion","['tracking', 'tracked']",530
"twisted","writhe.v.01","to move in a twisting or contorted motion, (especially when struggling)","verb.motion","['twisted', 'twisting', 'squirming', 'squirm', 'wriggle', 'writhing', 'wormed', 'writhe', 'worming', 'wriggling', 'squirmed', 'squirms', 'wriggled', 'wriggles']",526
"strangled","strangle.v.01","kill by squeezing the throat of so as to cut off the air","verb.contact","['strangled', 'strangle', 'strangling', 'strangles']",526
"phoned","call.v.03","get or try to get into communication (with someone) by telephone","verb.communication","['phoned', 'telephoned', 'phoning', 'telephoning']",524
"explore","research.v.02","inquire into","verb.cognition","['explore', 'exploring', 'explored', 'explores']",522
"divorced","disassociate.v.01","part; cease or break association with","verb.social","['divorced', 'divorcing', 'disassociate', 'disassociated', 'disassociating', 'dissociate', 'disassociates', 'dissociated']",520
"invest","invest.v.01","make an investment","verb.possession","['invest', 'invested', 'investing', 'invests']",520
"resign","vacate.v.01","leave (a job, post, or position) voluntarily","verb.social","['resign', 'resigned', 'vacate', 'resigning', 'vacated', 'resigns', 'vacating']",518
"unlock","unlock.v.01","open the lock of","verb.contact","['unlock', 'unlocked', 'unlocking', 'unlocks']",515
"planted","plant.v.01","put or set (seeds, seedlings, or plants) into the ground","verb.contact","['planted', 'planting']",514
"negotiate","negociate.v.06","discuss the terms of an arrangement","verb.communication","['negotiate', 'negotiating', 'negotiated', 'negotiates']",514
"boil","boil.v.01","come to the boiling point and change from a liquid to vapor","verb.change","['boil', 'boiling', 'boiled', 'boils']",513
"barking","bark.v.01","speak in an unfriendly tone","verb.communication","['barking', 'barks', 'barked']",512
"haunted","haunt.v.01","follow stealthily or recur constantly and spontaneously to","verb.motion","['haunted', 'haunt', 'haunting', 'haunts']",512
"stall","procrastinate.v.01","postpone doing what one should be doing","verb.stative","['stall', 'stalling', 'stalled', 'procrastinating', 'procrastinate', 'dillydallying', 'procrastinated']",511
"sunk","sink.v.01","fall or descend to a lower place or level","verb.motion","['sunk', 'sinking', 'sank']",509
"hack","chop.v.05","cut with a hacking tool","verb.contact","['hack', 'hacked', 'hacking']",509
"dial","dial.v.01","operate a dial to select a telephone number","verb.communication","['dial', 'dialed', 'dialing', 'dialling', 'dialled']",508
"measure","measure.v.01","determine the measurements of something or somebody, take measurements of","verb.cognition","['measure', 'measured', 'measuring', 'mensurate']",508
"translate","translate.v.01","restate (words) from one language into another language","verb.communication","['translate', 'translated', 'translates', 'translating']",506
"reduce","reduce.v.01","cut down on; make a reduction in","verb.change","['reduce', 'reduced', 'reducing', 'reduces']",506
"parked","park.v.01","place temporarily","verb.contact","['parked']",505
"slammed","slam.v.01","close violently","verb.contact","['slammed', 'slam', 'slams', 'slamming']",503
"apologise","apologize.v.02","defend, explain, clear away, or make excuses for by reasoning","verb.communication","['apologise', 'apologised', 'rationalize', 'apologising', 'rationalizing', 'rationalized']",501
"persuade","carry.v.23","win approval or support for","verb.social","['persuade', 'persuaded', 'persuading', 'persuades']",501
"adjust","adjust.v.01","alter or regulate so as to achieve accuracy or conform to a standard","verb.change","['adjust', 'adjusting', 'adjusted', 'adjusts']",498
"dip","dunk.v.01","immerse briefly into a liquid so as to wet, coat, or saturate","verb.contact","['dip', 'dipped', 'dunk', 'dipping', 'dunked', 'dips', 'dunking', 'dunks']",495
"violated","violate.v.01","fail to agree with; be in violation of; as of rules or patterns","verb.stative","['violated', 'violate', 'violating', 'violates']",495
"deceive","deceive.v.01","be false to; be dishonest with","verb.social","['deceive', 'deceived', 'deceiving', 'deluded', 'delude', 'deluding', 'deceives', 'cozened']",495
"lit","light.v.01","make lighter or brighter","verb.change","['lit', 'illuminate', 'lighted', 'illuminated', 'illuminates', 'illume']",493
"halt","halt.v.01","cause to stop","verb.motion","['halt', 'halted', 'halts']",490
"quote","quote.v.01","repeat a passage from","verb.communication","['quote', 'quoting', 'quoted']",489
"haul","haul.v.01","draw slowly or heavily","verb.contact","['haul', 'hauling', 'hauled', 'hauls', 'carted', 'carting']",487
"humiliated","humiliate.v.01","cause to feel shame; hurt the pride of","verb.emotion","['humiliated', 'humiliate', 'humiliates', 'abase']",485
"booked","book.v.01","engage for a performance","verb.cognition","['booked']",483
"whack","whack.v.01","hit hard","verb.contact","['whack', 'whacked', 'whacking', 'whacks', 'whop', 'walloped', 'whopped', 'whammed', 'whops']",483
"restore","restore.v.01","return to its original or usable and functioning condition","verb.social","['restore', 'restored', 'restoring', 'restores']",483
"tuck","tuck.v.01","fit snugly into","verb.contact","['tuck', 'tucked', 'tucking']",481
"stir","stir.v.01","move an implement through","verb.motion","['stir', 'stirred', 'stirring', 'stirs']",481
"compromised","compromise.v.01","make a compromise; arrive at a compromise; we all must compromise""","verb.communication","['compromised', 'compromise', 'compromising']",481
"consult","consult.v.01","get or ask advice from","verb.communication","['consult', 'consulting', 'consulted', 'consults']",480
"congratulate","compliment.v.01","say something to someone that expresses praise","verb.communication","['congratulate', 'congratulated', 'complimenting', 'complimented', 'congratulating', 'congratulates']",476
"embarrass","embarrass.v.01","cause to be embarrassed; cause to feel self-conscious","verb.emotion","['embarrass', 'embarrasses']",472
"directed","direct.v.01","command with authority","verb.communication","['directed', 'directing', 'directs']",472
"wailing","howl.v.01","emit long loud cries","verb.communication","['wailing', 'howling', 'howl', 'howls', 'wails', 'wail', 'howled', 'yawls']",472
"define","specify.v.03","determine the essential quality of","verb.stative","['define', 'defined', 'defines', 'defining', 'delimited']",471
"convicted","convict.v.01","find or declare guilty","verb.communication","['convicted', 'convict', 'convicting']",468
"bake","bake.v.01","cook and make edible by putting in a hot oven","verb.change","['bake', 'baking', 'bakes']",467
"seize","seize.v.01","take hold of; grab","verb.contact","['seize', 'seized', 'clutching', 'seizing', 'clutched', 'seizes']",465
"pronounce","pronounce.v.01","speak, pronounce, or utter in a certain way","verb.communication","['pronounce', 'pronounced', 'pronouncing', 'pronounces', 'enunciate', 'enunciating', 'enounced', 'enunciated', 'enunciates']",463
"smack","smack.v.01","deliver a hard blow to","verb.contact","['smack', 'smacked', 'smacking', 'smacks', 'thwack']",462
"rot","decompose.v.03","break down","verb.change","['rot', 'rotting', 'rots', 'rotted', 'moldering', 'mouldering']",461
"collapsed","collapse.v.01","break down, literally or metaphorically","verb.motion","['collapsed', 'collapse', 'collapsing']",461
"implying","imply.v.01","express or state indirectly","verb.communication","['implying', 'imply', 'implied', 'implies', 'connote']",461
"injured","injure.v.01","cause injuries or bodily harm to","verb.body","['injured', 'injure', 'wounding', 'injuring', 'injures']",460
"resting","rest.v.01","not move; be in a resting position","verb.contact","['resting', 'rested', 'rests']",458
"suspected","suspect.v.01","imagine to be the case or true or probable","verb.communication","['suspected', 'suspecting']",454
"contacted","reach.v.04","be in or establish communication with","verb.communication","['contacted', 'contacting']",454
"flirting","chat_up.v.01","talk or behave amorously, without serious intentions","verb.communication","['flirting', 'flirt', 'flirted', 'flirts']",453
"supported","support.v.01","give moral or psychological support, aid, or courage to","verb.social","['supported', 'supporting', 'supports']",452
"crushed","oppress.v.01","come down on or keep down by unjust use of one's authority","verb.social","['crushed', 'crushing', 'oppress', 'oppressing', 'oppresses']",450
"disappoint","disappoint.v.01","fail to meet the hopes or expectations of","verb.emotion","['disappoint', 'disappoints']",447
"pictured","visualize.v.01","imagine; conceive of; see in one's mind","verb.creation","['pictured', 'visualize', 'picturing', 'fancied', 'fancies', 'envision', 'envisioned', 'visualizing', 'fancying', 'visualized', 'envisioning', 'envisions']",447
"registered","register.v.01","record in writing; enter into a book of names or events or transactions","verb.social","['registered', 'registering', 'registers']",446
"embrace","embrace.v.01","include in scope; include as part of something broader; have as one's sphere or territory","verb.stative","['embrace', 'embraced', 'embracing', 'embraces', 'encompass', 'encompasses', 'encompassed', 'encompassing']",445
"starve","starve.v.01","be hungry; go without food","verb.consumption","['starve', 'starved', 'starves']",444
"occupied","busy.v.01","keep busy with","verb.social","['occupied', 'occupy', 'occupying', 'occupies', 'busied', 'busies']",444
"burst","burst.v.01","come open suddenly and violently, as if from internal pressure","verb.change","['burst', 'bursting', 'bursted']",443
"entertain","entertain.v.01","provide entertainment for","verb.social","['entertain', 'entertained', 'entertains']",443
"misunderstood","misconstrue.v.01","interpret in the wrong way","verb.cognition","['misunderstood', 'misunderstand', 'misconstrued', 'misconstrue', 'misconstrues', 'misconstruing']",442
"punched","punch.v.01","deliver a quick blow to","verb.contact","['punched', 'punching']",440
"tickle","tickle.v.01","touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements","verb.perception","['tickle', 'tickled', 'tickles', 'tickling', 'titillate', 'titillating', 'titillated']",440
"recruited","enroll.v.01","register formally as a participant or member","verb.social","['recruited', 'recruit', 'recruiting', 'enrolled', 'enroll', 'enrolling', 'enrol']",439
"praise","praise.v.01","express approval of","verb.communication","['praise', 'praised', 'praising']",436
"evacuate","evacuate.v.01","move out of an unsafe location into safety","verb.motion","['evacuate', 'evacuated', 'evacuating', 'evacuates']",436
"installed","install.v.01","set up for use","verb.contact","['installed', 'install', 'installing', 'installs']",435
"skate","skate.v.01","move along on skates","verb.motion","['skate', 'skating', 'skated']",435
"bid","offer.v.07","propose a payment","verb.possession","['bid', 'bade', 'bidden']",434
"jammed","throng.v.01","press tightly together or cram","verb.motion","['jammed', 'jamming', 'mobbed', 'mobbing', 'thronging']",434
"suspended","suspend.v.01","hang freely","verb.contact","['suspended', 'suspend', 'suspending', 'suspends']",434
"pressed","press.v.01","exert pressure or force to or upon","verb.contact","['pressed', 'pressing']",433
"justify","justify.v.01","show to be reasonable or provide adequate ground for","verb.communication","['justify', 'justified', 'justifies', 'warranted', 'justifying']",431
"spike","spike.v.01","stand in the way of","verb.social","['spike', 'spiked', 'spiking']",430
"extend","widen.v.04","extend in scope or range or area","verb.change","['extend', 'extending', 'extends']",430
"damned","curse.v.03","wish harm upon; invoke evil upon","verb.communication","['damned', 'damning', 'beshrew', 'damns']",429
"grounded","anchor.v.01","fix firmly and stably","verb.contact","['grounded', 'anchored', 'anchoring']",428
"rocked","rock.v.01","move back and forth or sideways","verb.motion","['rocked', 'rocking', 'sway', 'swaying', 'swayed', 'sways']",428
"reverse","change_by_reversal.v.01","change to the contrary","verb.change","['reverse', 'reversed', 'reversing', 'reverses']",427
"hesitate","hesitate.v.01","pause or hold back in uncertainty or unwillingness","verb.stative","['hesitate', 'hesitated', 'waver', 'hesitating', 'wavering', 'hesitates', 'wavered', 'waffling', 'wavers']",425
"annoy","annoy.v.01","cause annoyance in; disturb, especially by minor irritations","verb.emotion","['annoy', 'riled', 'irritated', 'irritate', 'annoys', 'irritates', 'vexed', 'rile', 'vex', 'vexing', 'narked', 'riles', 'vexes', 'deviling', 'nark', 'riling', 'narking']",425
"sniffing","sniff.v.01","perceive by inhaling through the nose","verb.perception","['sniffing', 'sniff', 'sniffs', 'sniffed', 'whiffed', 'whiffing']",423
"underestimate","undervalue.v.01","assign too low a value to","verb.cognition","['underestimate', 'underestimated', 'underestimating', 'underestimates', 'undervalued']",420
"blackmail","blackmail.v.01","exert pressure on someone through threats","verb.social","['blackmail', 'blackmailed', 'blackmailing', 'blackmails']",420
"recognise","recognize.v.09","show approval or appreciation of","verb.social","['recognise', 'recognised', 'recognises', 'recognising']",419
"disagree","disagree.v.01","be of different opinions","verb.communication","['disagree', 'disagreed', 'disagrees', 'disagreeing']",417
"confront","confront.v.01","oppose, as in hostility or a competition","verb.competition","['confront', 'confronted', 'confronting', 'confronts']",417
"damaged","damage.v.01","inflict damage upon","verb.change","['damaged', 'damaging']",416
"gamble","gamble.v.01","take a risk in the hope of a favorable outcome","verb.social","['gamble', 'gambled', 'gambles', 'adventuring']",415
"stressed","stress.v.01","to stress, single out as important","verb.communication","['stressed', 'emphasize', 'stressing', 'accentuate', 'emphasized', 'emphasizes', 'accentuates', 'emphasizing', 'accentuated', 'accented', 'accentuating']",415
"donate","donate.v.01","give to a charity or good cause","verb.possession","['donate', 'donated', 'donating', 'donates']",414
"inherited","inherit.v.01","obtain from someone after their death","verb.possession","['inherited', 'inherit', 'inherits', 'inheriting']",414
"tripped","stumble.v.02","miss a step and fall or nearly fall","verb.motion","['tripped', 'tripping']",413
"envy","envy.v.01","feel envious towards; admire enviously","verb.emotion","['envy', 'envied', 'envying', 'envies']",412
"submit","submit.v.01","refer for judgment or consideration","verb.communication","['submit', 'submitted', 'submitting', 'submits']",412
"authorized","authorize.v.01","grant authorization or clearance for","verb.communication","['authorized', 'authorize', 'authorizing', 'authorizes']",412
"predict","predict.v.01","make a prediction about; tell in advance","verb.communication","['predict', 'predicted', 'predicts', 'predicting', 'prognosticated']",411
"stripped","deprive.v.01","take away possessions from someone","verb.possession","['stripped', 'deprived', 'deprive', 'stripping', 'depriving', 'deprives', 'divest', 'divested', 'divesting', 'divests']",409
"faking","forge.v.02","make a copy of with the intent to deceive","verb.creation","['faking', 'faked', 'counterfeiting', 'counterfeited']",406
"scheduled","schedule.v.01","plan for an activity or event","verb.cognition","['scheduled']",405
"brag","boast.v.01","show off","verb.communication","['brag', 'bragging', 'boast', 'bragged', 'boasting', 'brags', 'boasted', 'boasts']",404
"risking","risk.v.01","expose to a chance of loss or damage","verb.social","['risking', 'risked']",402
"thrilled","thrill.v.01","cause to be thrilled by some perceptual input","verb.perception","['thrilled']",401
"yank","yank.v.01","pull, or move with a sudden movement","verb.contact","['yank', 'jerking', 'yanked', 'jerked', 'yanking']",400
"bumped","bump.v.01","knock against with force or violence","verb.contact","['bumped', 'bumping']",398
"coughing","cough.v.01","exhale abruptly, as when one has a chest cold or congestion","verb.body","['coughing', 'coughs', 'coughed']",395
"stalking","stalk.v.01","walk stiffly","verb.motion","['stalking', 'stalked', 'stalk', 'stalks']",395
"reflect","reflect.v.01","manifest or bring back","verb.perception","['reflect', 'reflects', 'reflected', 'reflecting']",395
"infected","infect.v.01","communicate a disease to","verb.body","['infected', 'infect', 'infecting', 'infects']",394
"accompany","attach_to.v.01","be present or associated with an event or entity","verb.stative","['accompany', 'accompanied', 'accompanying', 'accompanies']",394
"intercept","intercept.v.01","seize on its way","verb.contact","['intercept', 'intercepted', 'intercepting', 'intercepts']",394
