SID,Cue,Character,Category,Recall
SID000120,Hospital,CoachTaylor,Place,0
SID000120,Hospital,JasonStreet,Place,1
SID000120,Hospital,JulieTaylor,Place,0
SID000120,Hospital,LandryClarke,Place,0
SID000120,Hospital,LylaGarrity,Place,2
SID000120,Hospital,MattSaracen,Place,0
SID000120,Hospital,SmashWilliams,Place,0
SID000120,Hospital,TamiTaylor,Place,0
SID000120,Hospital,TimRiggins,Place,3
SID000120,Hospital,TyraCollette,Place,0
SID000120,Influential,BuddyGarrity,Trait,4
SID000120,Influential,CoachTaylor,Trait,2
SID000120,Influential,JasonStreet,Trait,1
SID000120,Influential,JulieTaylor,Trait,0
SID000120,Influential,LandryClarke,Trait,0
SID000120,Influential,LylaGarrity,Trait,0
SID000120,Influential,MattSaracen,Trait,0
SID000120,Influential,SmashWilliams,Trait,3
SID000120,Influential,TamiTaylor,Trait,0
SID000120,Influential,TimRiggins,Trait,0
SID000120,Influential,TyraCollette,Trait,0
SID000120,JasonStreet,BuddyGarrity,Character,7
SID000120,JasonStreet,CoachTaylor,Character,5
SID000120,JasonStreet,JasonStreet,Character,0
SID000120,JasonStreet,JulieTaylor,Character,0
SID000120,JasonStreet,LandryClarke,Character,0
SID000120,JasonStreet,LylaGarrity,Character,1
SID000120,JasonStreet,MattSaracen,Character,4
SID000120,JasonStreet,SmashWilliams,Character,3
SID000120,JasonStreet,TamiTaylor,Character,6
SID000120,JasonStreet,TimRiggins,Character,2
SID000120,JasonStreet,TyraCollette,Character,8
SID000120,JulieTaylor,BuddyGarrity,Character,0
SID000120,JulieTaylor,CoachTaylor,Character,2
SID000120,JulieTaylor,JasonStreet,Character,0
SID000120,JulieTaylor,JulieTaylor,Character,0
SID000120,JulieTaylor,LandryClarke,Character,4
SID000120,JulieTaylor,LylaGarrity,Character,0
SID000120,JulieTaylor,MattSaracen,Character,3
SID000120,JulieTaylor,SmashWilliams,Character,0
SID000120,JulieTaylor,TamiTaylor,Character,1
SID000120,JulieTaylor,TimRiggins,Character,0
SID000120,JulieTaylor,TyraCollette,Character,0
SID000120,LandryClarke,BuddyGarrity,Character,0
SID000120,LandryClarke,CoachTaylor,Character,0
SID000120,LandryClarke,JasonStreet,Character,0
SID000120,LandryClarke,JulieTaylor,Character,0
SID000120,LandryClarke,LandryClarke,Character,0
SID000120,LandryClarke,LylaGarrity,Character,0
SID000120,LandryClarke,MattSaracen,Character,1
SID000120,LandryClarke,SmashWilliams,Character,0
SID000120,LandryClarke,TamiTaylor,Character,0
SID000120,LandryClarke,TimRiggins,Character,0
SID000120,LandryClarke,TyraCollette,Character,0
SID000120,LylaGarrity,BuddyGarrity,Character,2
SID000120,LylaGarrity,CoachTaylor,Character,0
SID000120,LylaGarrity,JasonStreet,Character,1
SID000120,LylaGarrity,JulieTaylor,Character,0
SID000120,LylaGarrity,LandryClarke,Character,0
SID000120,LylaGarrity,LylaGarrity,Character,0
SID000120,LylaGarrity,MattSaracen,Character,0
SID000120,LylaGarrity,SmashWilliams,Character,4
SID000120,LylaGarrity,TamiTaylor,Character,0
SID000120,LylaGarrity,TimRiggins,Character,3
SID000120,LylaGarrity,TyraCollette,Character,5
SID000120,MattSaracen,BuddyGarrity,Character,0
SID000120,MattSaracen,CoachTaylor,Character,1
SID000120,MattSaracen,JasonStreet,Character,5
SID000120,MattSaracen,JulieTaylor,Character,3
SID000120,MattSaracen,LandryClarke,Character,2
SID000120,MattSaracen,LylaGarrity,Character,0
SID000120,MattSaracen,MattSaracen,Character,0
SID000120,MattSaracen,SmashWilliams,Character,6
SID000120,MattSaracen,TamiTaylor,Character,0
SID000120,MattSaracen,TimRiggins,Character,4
SID000120,MattSaracen,TyraCollette,Character,0
SID000120,Outgoing,BuddyGarrity,Trait,3
SID000120,Outgoing,CoachTaylor,Trait,6
SID000120,Outgoing,JasonStreet,Trait,4
SID000120,Outgoing,JulieTaylor,Trait,0
SID000120,Outgoing,LandryClarke,Trait,0
SID000120,Outgoing,LylaGarrity,Trait,5
SID000120,Outgoing,MattSaracen,Trait,0
SID000120,Outgoing,SmashWilliams,Trait,1
SID000120,Outgoing,TamiTaylor,Trait,0
SID000120,Outgoing,TimRiggins,Trait,0
SID000120,Outgoing,TyraCollette,Trait,2
SID000120,Romance,BuddyGarrity,Action,0
SID000120,Romance,CoachTaylor,Action,6
SID000120,Romance,JasonStreet,Action,2
SID000120,Romance,JulieTaylor,Action,7
SID000120,Romance,LandryClarke,Action,0
SID000120,Romance,LylaGarrity,Action,3
SID000120,Romance,MattSaracen,Action,4
SID000120,Romance,SmashWilliams,Action,9
SID000120,Romance,TamiTaylor,Action,5
SID000120,Romance,TimRiggins,Action,0
SID000120,Romance,TyraCollette,Action,8
