Subject,Content,Character,Mention
s02,JulieTaylor,JasonStreet,0
s02,JulieTaylor,JulieTaylor,0
s02,JulieTaylor,LandryClarke,0
s02,JulieTaylor,LylaGarrity,0
s02,JulieTaylor,MattSaracen,1
s02,JulieTaylor,SmashWilliams,0
s02,JulieTaylor,TamiTaylor,0
s02,JulieTaylor,TimRiggins,0
s02,JulieTaylor,TyraCollette,0
s02,LandryClarke,BuddyGarrity,0
s02,LandryClarke,CoachTaylor,0
s02,LandryClarke,JasonStreet,0
s02,LandryClarke,JulieTaylor,0
s02,LandryClarke,LandryClarke,0
s02,LandryClarke,LylaGarrity,0
s02,LandryClarke,MattSaracen,1
s02,LandryClarke,SmashWilliams,0
s02,LandryClarke,TamiTaylor,0
s02,LandryClarke,TimRiggins,0
s02,LandryClarke,TyraCollette,0
s02,LylaGarrity,BuddyGarrity,1
s02,LylaGarrity,CoachTaylor,0
s02,LylaGarrity,JasonStreet,1
s02,LylaGarrity,JulieTaylor,0
s02,LylaGarrity,LandryClarke,0
s02,LylaGarrity,LylaGarrity,0
s02,LylaGarrity,MattSaracen,0
s02,LylaGarrity,SmashWilliams,0
s02,LylaGarrity,TamiTaylor,0
s02,LylaGarrity,TimRiggins,1
s02,LylaGarrity,TyraCollette,0
s02,MattSaracen,BuddyGarrity,0
s02,MattSaracen,CoachTaylor,1
s02,MattSaracen,JasonStreet,1
s02,MattSaracen,JulieTaylor,1
s02,MattSaracen,LandryClarke,0
s02,MattSaracen,LylaGarrity,0
s02,MattSaracen,MattSaracen,0
s02,MattSaracen,SmashWilliams,0
s02,MattSaracen,TamiTaylor,0
s02,MattSaracen,TimRiggins,0
s02,MattSaracen,TyraCollette,0
s02,SmashWilliams,BuddyGarrity,0
s02,SmashWilliams,CoachTaylor,1
s02,SmashWilliams,JasonStreet,0
s02,SmashWilliams,JulieTaylor,0
s02,SmashWilliams,LandryClarke,0
s02,SmashWilliams,LylaGarrity,0
s02,SmashWilliams,MattSaracen,0
s02,SmashWilliams,SmashWilliams,0
s02,SmashWilliams,TamiTaylor,0
s02,SmashWilliams,TimRiggins,0
s02,SmashWilliams,TyraCollette,0
s02,TamiTaylor,BuddyGarrity,0
s02,TamiTaylor,CoachTaylor,1
s02,TamiTaylor,JasonStreet,0
s02,TamiTaylor,JulieTaylor,1
s02,TamiTaylor,LandryClarke,0
s02,TamiTaylor,LylaGarrity,0
s02,TamiTaylor,MattSaracen,0
s02,TamiTaylor,SmashWilliams,0
s02,TamiTaylor,TamiTaylor,0
s02,TamiTaylor,TimRiggins,0
s02,TamiTaylor,TyraCollette,0
s02,TimRiggins,BuddyGarrity,0
s02,TimRiggins,CoachTaylor,1
s02,TimRiggins,JasonStreet,1
s02,TimRiggins,JulieTaylor,0
s02,TimRiggins,LandryClarke,0
s02,TimRiggins,LylaGarrity,1
s02,TimRiggins,MattSaracen,0
s02,TimRiggins,SmashWilliams,0
s02,TimRiggins,TamiTaylor,0
s02,TimRiggins,TimRiggins,0
s02,TimRiggins,TyraCollette,0
s02,TyraCollette,BuddyGarrity,0
s02,TyraCollette,CoachTaylor,0
s02,TyraCollette,JasonStreet,1
s02,TyraCollette,JulieTaylor,0
s02,TyraCollette,LandryClarke,0
s02,TyraCollette,LylaGarrity,1
s02,TyraCollette,MattSaracen,0
s02,TyraCollette,SmashWilliams,0
s02,TyraCollette,TamiTaylor,0
s02,TyraCollette,TimRiggins,1
s02,TyraCollette,TyraCollette,0
s03,BuddyGarrity,BuddyGarrity,0
s03,BuddyGarrity,CoachTaylor,0
s03,BuddyGarrity,JasonStreet,1
s03,BuddyGarrity,JulieTaylor,0
s03,BuddyGarrity,LandryClarke,0
s03,BuddyGarrity,LylaGarrity,1
s03,BuddyGarrity,MattSaracen,0
s03,BuddyGarrity,SmashWilliams,0
s03,BuddyGarrity,TamiTaylor,0
s03,BuddyGarrity,TimRiggins,0
s03,BuddyGarrity,TyraCollette,0
s03,CoachTaylor,BuddyGarrity,0
s03,CoachTaylor,CoachTaylor,0
s03,CoachTaylor,JasonStreet,0
s03,CoachTaylor,JulieTaylor,1
s03,CoachTaylor,LandryClarke,0
s03,CoachTaylor,LylaGarrity,0
s03,CoachTaylor,MattSaracen,0
s03,CoachTaylor,SmashWilliams,0
s03,CoachTaylor,TamiTaylor,0
s03,CoachTaylor,TimRiggins,0
s03,CoachTaylor,TyraCollette,0
s03,JasonStreet,BuddyGarrity,0
s03,JasonStreet,CoachTaylor,0
s03,JasonStreet,JasonStreet,0
s03,JasonStreet,JulieTaylor,0
s03,JasonStreet,LandryClarke,0
s03,JasonStreet,LylaGarrity,1
s03,JasonStreet,MattSaracen,0
s03,JasonStreet,SmashWilliams,0
s03,JasonStreet,TamiTaylor,0
s03,JasonStreet,TimRiggins,0
s03,JasonStreet,TyraCollette,0
s03,JulieTaylor,BuddyGarrity,0
s03,JulieTaylor,CoachTaylor,1
s03,JulieTaylor,JasonStreet,0
s03,JulieTaylor,JulieTaylor,0
s03,JulieTaylor,LandryClarke,0
s03,JulieTaylor,LylaGarrity,0
s03,JulieTaylor,MattSaracen,1
s03,JulieTaylor,SmashWilliams,0
s03,JulieTaylor,TamiTaylor,0
s03,JulieTaylor,TimRiggins,0
s03,JulieTaylor,TyraCollette,0
s03,LandryClarke,BuddyGarrity,0
s03,LandryClarke,CoachTaylor,1
s03,LandryClarke,JasonStreet,0
s03,LandryClarke,JulieTaylor,1
s03,LandryClarke,LandryClarke,0
s03,LandryClarke,LylaGarrity,0
s03,LandryClarke,MattSaracen,1
s03,LandryClarke,SmashWilliams,0
s03,LandryClarke,TamiTaylor,0
s03,LandryClarke,TimRiggins,0
s03,LandryClarke,TyraCollette,0
s03,LylaGarrity,BuddyGarrity,0
s03,LylaGarrity,CoachTaylor,0
s03,LylaGarrity,JasonStreet,1
s03,LylaGarrity,JulieTaylor,0
s03,LylaGarrity,LandryClarke,0
s03,LylaGarrity,LylaGarrity,0
s03,LylaGarrity,MattSaracen,0
s03,LylaGarrity,SmashWilliams,0
s03,LylaGarrity,TamiTaylor,0
s03,LylaGarrity,TimRiggins,1
s03,LylaGarrity,TyraCollette,0
s03,MattSaracen,BuddyGarrity,0
s03,MattSaracen,CoachTaylor,1
s03,MattSaracen,JasonStreet,1
s03,MattSaracen,JulieTaylor,1
s03,MattSaracen,LandryClarke,0
s03,MattSaracen,LylaGarrity,0
s03,MattSaracen,MattSaracen,0
s03,MattSaracen,SmashWilliams,0
s03,MattSaracen,TamiTaylor,0
s03,MattSaracen,TimRiggins,0
s03,MattSaracen,TyraCollette,0
s03,SmashWilliams,BuddyGarrity,0
s03,SmashWilliams,CoachTaylor,0
s03,SmashWilliams,JasonStreet,0
s03,SmashWilliams,JulieTaylor,0
s03,SmashWilliams,LandryClarke,0
s03,SmashWilliams,LylaGarrity,0
s03,SmashWilliams,MattSaracen,0
s03,SmashWilliams,SmashWilliams,0
s03,SmashWilliams,TamiTaylor,0
s03,SmashWilliams,TimRiggins,1
s03,SmashWilliams,TyraCollette,1
s03,TamiTaylor,BuddyGarrity,0
s03,TamiTaylor,CoachTaylor,1
s03,TamiTaylor,JasonStreet,0
s03,TamiTaylor,JulieTaylor,0
s03,TamiTaylor,LandryClarke,0
s03,TamiTaylor,LylaGarrity,0
s03,TamiTaylor,MattSaracen,0
s03,TamiTaylor,SmashWilliams,0
s03,TamiTaylor,TamiTaylor,0
s03,TamiTaylor,TimRiggins,0
s03,TamiTaylor,TyraCollette,0
s03,TimRiggins,BuddyGarrity,0
